,lon,lat,k2,k3,k4,k5,k6,centroid
0,-122.48503873,37.7612911364,[1],[2],[3],[2],[3],0.0
1,-122.466204668,37.7725405392,[1],[2],[3],[2],[3],0.0
2,-122.403404791,37.7754207067,[0],[1],[0],[0],[0],0.0
3,-122.409660752,37.7864394525,[0],[1],[0],[0],[0],0.0
4,-122.417955822,37.7578801214,[1],[0],[1],[1],[1],0.0
5,-122.410699658,37.7869881885,[0],[1],[0],[0],[0],0.0
6,-122.410699658,37.7869881885,[0],[1],[0],[0],[0],0.0
7,-122.410699658,37.7869881885,[0],[1],[0],[0],[0],0.0
8,-122.417817853,37.7578884408,[1],[0],[1],[1],[1],0.0
9,-122.388379874,37.7833104067,[0],[1],[0],[0],[0],0.0
10,-122.388379874,37.7833104067,[0],[1],[0],[0],[0],0.0
11,-122.388379874,37.7833104067,[0],[1],[0],[0],[0],0.0
12,-122.388379874,37.7833104067,[0],[1],[0],[0],[0],0.0
13,-122.388379874,37.7833104067,[0],[1],[0],[0],[0],0.0
14,-122.388379874,37.7833104067,[0],[1],[0],[0],[0],0.0
15,-122.403404791,37.7754207067,[0],[1],[0],[0],[0],0.0
16,-122.403404791,37.7754207067,[0],[1],[0],[0],[0],0.0
17,-122.388379874,37.7833104067,[0],[1],[0],[0],[0],0.0
18,-122.388379874,37.7833104067,[0],[1],[0],[0],[0],0.0
19,-122.388379874,37.7833104067,[0],[1],[0],[0],[0],0.0
20,-122.388379874,37.7833104067,[0],[1],[0],[0],[0],0.0
21,-122.405941469,37.790463178,[0],[1],[0],[0],[0],0.0
22,-122.407114491,37.7899019823,[0],[1],[0],[0],[0],0.0
23,-122.411747372,37.7859988324,[0],[1],[0],[3],[2],0.0
24,-122.426508142,37.7859342572,[0],[1],[0],[3],[2],0.0
25,-122.470190416,37.7808757917,[0],[2],[3],[2],[3],0.0
26,-122.417997608,37.7769551138,[0],[1],[0],[3],[2],0.0
27,-122.478349616,37.7513339692,[1],[2],[3],[2],[3],0.0
28,-122.415781282,37.7588312135,[1],[0],[1],[1],[1],0.0
29,-122.417964484,37.7586968166,[1],[0],[1],[1],[1],0.0
30,-122.458860616,37.7812550935,[0],[1],[3],[2],[3],0.0
31,-122.400916029,37.7854574903,[0],[1],[0],[0],[0],0.0
32,-122.400916029,37.7854574903,[0],[1],[0],[0],[0],0.0
33,-122.400916029,37.7854574903,[0],[1],[0],[0],[0],0.0
34,-122.400916029,37.7854574903,[0],[1],[0],[0],[0],0.0
35,-122.400916029,37.7854574903,[0],[1],[0],[0],[0],0.0
36,-122.400916029,37.7854574903,[0],[1],[0],[0],[0],0.0
37,-122.400916029,37.7854574903,[0],[1],[0],[0],[0],0.0
38,-122.400916029,37.7854574903,[0],[1],[0],[0],[0],0.0
39,-122.400916029,37.7854574903,[0],[1],[0],[0],[0],0.0
40,-122.400916029,37.7854574903,[0],[1],[0],[0],[0],0.0
41,-122.400916029,37.7854574903,[0],[1],[0],[0],[0],0.0
42,-122.400916029,37.7854574903,[0],[1],[0],[0],[0],0.0
43,-122.400916029,37.7854574903,[0],[1],[0],[0],[0],0.0
44,-122.400916029,37.7854574903,[0],[1],[0],[0],[0],0.0
45,-122.400916029,37.7854574903,[0],[1],[0],[0],[0],0.0
46,-122.400916029,37.7854574903,[0],[1],[0],[0],[0],0.0
47,-122.400916029,37.7854574903,[0],[1],[0],[0],[0],0.0
48,-122.400916029,37.7854574903,[0],[1],[0],[0],[0],0.0
49,-122.400916029,37.7854574903,[0],[1],[0],[0],[0],0.0
50,-122.400916029,37.7854574903,[0],[1],[0],[0],[0],0.0
51,-122.400916029,37.7854574903,[0],[1],[0],[0],[0],0.0
52,-122.400916029,37.7854574903,[0],[1],[0],[0],[0],0.0
53,-122.400916029,37.7854574903,[0],[1],[0],[0],[0],0.0
54,-122.400916029,37.7854574903,[0],[1],[0],[0],[0],0.0
55,-122.400916029,37.7854574903,[0],[1],[0],[0],[0],0.0
56,-122.47548463,37.7383655655,[1],[2],[2],[4],[4],0.0
57,-122.408231026,37.787359495,[0],[1],[0],[0],[0],0.0
58,-122.418467748,37.787965257,[0],[1],[0],[3],[2],0.0
59,-122.418467748,37.787965257,[0],[1],[0],[3],[2],0.0
60,-122.417812559,37.7571005796,[1],[0],[1],[1],[1],0.0
61,-122.417812559,37.7571005796,[1],[0],[1],[1],[1],0.0
62,-122.41592985,37.7604330004,[1],[0],[1],[1],[1],0.0
63,-122.41592985,37.7604330004,[1],[0],[1],[1],[1],0.0
64,-122.418467748,37.787965257,[0],[1],[0],[3],[2],0.0
65,-122.418467748,37.787965257,[0],[1],[0],[3],[2],0.0
66,-122.41592985,37.7604330004,[1],[0],[1],[1],[1],0.0
